date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:14	120/120	---MCZ	200	added ('OK')	text/plain	date:Sun,%2006%20Jul%202025%2023:23:13%20GMT	https://personplaceorthingontv.com/robots.txt		(from )
16:23:15	599183/599183	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2023:23:13%20GMT	https://personplaceorthingontv.com/	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/index.html	(from )
16:23:16	87553/87553	---MCZ	200	added ('OK')	text/javascript	etag:W/%2264ecd5ef-15601%22	https://personplaceorthingontv.com/wp/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/wp/wp-includes/js/jquery/jquery.minf43b.js	(from https://personplaceorthingontv.com/)
16:23:16	492506/492506	---MCZ	200	added ('OK')	text/css	etag:W/%2268405a8b-783da%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css	(from https://personplaceorthingontv.com/)
16:23:17	13577/13577	---MCZ	200	added ('OK')	text/javascript	etag:W/%226482bd64-3509%22	https://personplaceorthingontv.com/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/wp/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://personplaceorthingontv.com/)
16:23:18	399/399	---MCZ	200	added ('OK')	text/css	date:Sun,%2006%20Jul%202025%2023:23:17%20GMT	https://kit.fontawesome.com/3106eacc42.css	C:/My%20Web%20Sites/place2/kit.fontawesome.com/3106eacc42.css	(from https://personplaceorthingontv.com/)
16:23:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2006%20Jul%202025%2023:23:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/place2/www.googletagmanager.com/gtm.45445.delayed	(from https://personplaceorthingontv.com/)
16:23:19	212883/212883	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227fdb5e8ee8b7d7885384cb75ad5c4b0%22	https://js.hcaptcha.com/1/api.js?hl=en	C:/My%20Web%20Sites/place2/js.hcaptcha.com/1/apifef7.js	(from https://personplaceorthingontv.com/)
16:23:20	99890/99890	---M--	200	added ('OK')	image/png	etag:%2268405a8b-18632%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/hero-host.c39292.png	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/hero-host.c39292.png	(from https://personplaceorthingontv.com/)
16:23:21	176040/176040	---M--	200	added ('OK')	image/jpeg	etag:%221751054440%22	https://i.ytimg.com/vi/rWmVbl4FhlQ/maxresdefault.jpg	C:/My%20Web%20Sites/place2/i.ytimg.com/vi/rWmVbl4FhlQ/maxresdefault.jpg	(from https://personplaceorthingontv.com/)
